Code,taux_locataire,taille_moy_menage,part_diplome_sup,part_appartement,taux_chomage,taux_urba,part_soixante_cinq_plus,taux_pauvrete,part_locataire_hlm,cadre,ouvrier,part_jeune
01,35.8,2.3,8.9,36,5.9,67,17.7,10.7,14.1,14.7,24.4,30.4
02,36.7,2.26,4.1,23.7,11.1,53.2,20.2,18.4,15.9,8.2,30.7,29.8
03,33,2,4.9,27.6,8.3,58.3,27.4,15.4,10,8.8,26.1,24.8
04,36.9,2.04,7.5,38,9.1,61.9,26.1,16.6,8.1,10.9,20.6,24.7
05,35.6,2.05,7.7,56.2,7.8,59.5,24.4,13.9,10.6,9.8,18.7,25.3
06,41.1,2.07,12,75.6,8.6,95.9,24.4,15.8,9.5,17,16.2,26.1
07,30.5,2.14,5.9,24.5,8.6,63.3,24.8,14.3,7.9,10,24.9,25.8
08,37.8,2.19,4,28.2,9.5,57.3,21.3,18.6,16.9,7.9,30,28
09,30.7,2.05,5.9,19.1,9.8,55.5,26,17.9,4.4,8.9,21.4,24.5
10,40.3,2.12,5.4,33.4,10,61.3,21.4,16.3,19.8,10.1,27.8,29.7
11,35,2.08,6.1,28.3,10.5,61.6,25.9,20.2,8.6,9.5,21.7,25.6
12,28.4,2.06,5.5,25.7,5.9,47.7,27.2,13.8,5.6,9.3,22.8,24.4
13,46.6,2.17,12.3,61.8,9.1,99.3,20.4,18.3,14.9,18,17.5,29.5
14,41.3,2.14,8,38.7,7.1,68.9,21.4,12.1,16.9,13,23.6,29.8
15,27.1,2.03,4.4,23.9,4.3,35.3,27.8,13,7.5,7.5,24,22.7
16,31.2,2.08,5.7,16.5,7.5,46.7,25,14.6,8.7,10.2,27.2,25.4
17,32.8,2.04,6.5,21.6,7.9,60.9,27.4,12.5,7.9,10.8,22.4,24.6
18,31.1,2.06,5.4,20.1,7.8,55.3,25.6,14,12.2,10.2,26.3,25.4
19,29.2,2.02,5.4,21.1,6.4,55.6,27.4,13,7.2,9.8,24.3,24.2
21,38,2.06,9.4,45.1,5.8,62.9,20.9,11.2,12.9,10,19.2,29.8
22,27.5,2.1,6.2,17.1,6.8,60.8,25.8,11.6,7.4,9.6,19.9,26.4
23,24.3,1.97,4.4,12.9,7.1,21.4,30.1,18.1,7.7,15.1,22.4,21.6
24,28.9,2.04,5.3,15,7.7,49,28.7,16,6.2,10.5,26.4,22.9
25,38.7,2.15,7.7,48.1,7.3,65.4,19.5,12.1,13,8.1,22.8,30.9
26,35.8,2.19,7.6,35.3,8.5,71.3,21.7,14.6,10.7,8.4,25,28.6
27,33,2.31,5.8,21.9,7.8,55.9,19.1,12.5,14.4,12.7,28.6,30
28,32.2,2.28,6,25.7,7,61.4,20.3,11.9,15.2,12.5,24.1,29.5
29,29.6,2.06,8.1,26,6.6,77.9,23,10.4,10,11.1,28.3,27.6
2A,38.3,2.23,7.3,47,6.5,73.5,23.9,16,7.8,12.3,25.4,24.1
2B,40.7,2.18,8,48.1,7.3,70.2,22.9,19.8,8.4,13.1,23.4,25.8
30,38.3,2.16,7.5,36.6,10.6,82.1,22.9,19.6,10,11.8,20.6,27.8
31,45.8,2.1,17.3,49.9,8,86.8,16.6,13.2,10.9,24.7,15.1,31.7
