dep,morts,accidents,population,pop_femme,pop_homme,pop_20_39,pop_40_59,pop_60_plus,superficie,densite_pop,med_niv_vie,taux_povr,pop_active,taux_chom,taux_urba,km_autoroute,km_natio,km_dep,bdg_voirie,infractions_retrait_points,effectif_tourisme,taux_actif_tourisme,Tx_eq_voiture_menage,% foyer 1 voiture,% menage 2 voiture ou +,nb_radar
1,34,474,652432,330575,321857,148849,178829,155125,5762.39,113.222465,23490,10.5,313762,5.6,67,232,0,13250,75.57,81380,8257.723055,0.026318429,91,43.7,47.2,28
2,22,384,531345,272216,259129,115580,137655,144522,7361.65,72.17743305,19880,18.5,235994,9.8,53.2,147,164,11131,26.25,63429,4335.983234,0.018373277,83.1,46.2,36.9,28
3,36,318,335975,174782,161193,62465,87252,116771,7340.11,45.7724748,20570,15.4,143036,7.9,58.3,111,209,13179,20.54,46903,5003.066558,0.034977674,85,47.1,37.9,31
4,18,194,164308,84465,79843,30297,43729,55451,6925.22,23.72603325,20690,16.6,70689,8.8,61.9,66,99,7094,40.71,24132,5230.901546,0.073998805,87.9,49.8,38.1,16
5,103,2997,141220,72262,68958,27481,38222,44922,5548.68,25.45109828,21020,13.9,64127,7,59.5,26,153,4762,40.28,16973,6316.783219,0.098504268,88.4,50.4,38,16
6,38,557,1094283,576683,517600,239709,287563,333822,4298.58,254.5684854,22300,15.5,485490,8,95.9,75,0,5211,50.96,140332,40714.17836,0.083862033,77.7,51.5,26.2,52
7,10,87,328278,168029,160249,61548,88431,105257,5528.64,59.37771314,21010,14.3,143011,8,63.3,0,91,11383,38.03,34398,5362.013522,0.037493714,90,46.1,43.9,23
8,15,185,270582,138427,132155,57208,72468,77130,5229.41,51.74235717,19840,18.9,121021,8.7,57.3,80,49,6573,18.04,29863,1987.066027,0.016419184,83,45.8,37.2,22
9,57,635,153287,78238,75049,28930,41128,51651,4889.92,31.34754761,20010,18.4,66171,8.7,55.5,16,90,6015,16.02,20599,2886.362523,0.043619751,87.7,47.1,40.6,18
10,22,164,310242,159345,150897,69695,78270,86514,6004.16,51.67117465,20580,16.3,137774,8.8,61.3,152,33,7025,25.31,41485,3279.624735,0.023804381,82.7,46.2,36.5,34
11,5,186,374070,194205,179865,71161,97666,124025,6138.98,60.93357528,19550,20.8,155399,9.4,61.6,155,0,11546,64.5,53091,7423.41467,0.047770029,86.3,50.1,36.2,19
12,31,210,279595,141564,138031,52295,73157,96912,8735.12,32.00814643,20850,13.9,121177,5.5,47.7,74,89,17205,54.31,33838,4532.880889,0.037407106,88.7,47.4,41.3,14
13,30,205,2043110,1066931,976179,491519,527109,539144,5087.49,401.5948926,21650,18.2,887341,8.3,99.3,329,89,12267,77.89,316603,32313.43314,0.036416026,78.5,47.8,30.7,82
14,38,436,694905,360852,334053,160230,174958,197126,5534.47,125.5594483,21730,12.3,313200,6.9,68.9,132,121,12782,41.35,96511,16445.36189,0.052507541,85.1,47.5,37.6,25
15,7,59,144692,73949,70743,25953,39101,51996,5725.98,25.2693862,20690,13.2,64094,4.4,35.3,50,128,10340,22.94,19490,2236.382344,0.034892226,87.2,47.2,39.9,17
16,24,200,352015,181614,170401,70185,93083,114970,5955.99,59.10268486,20940,14.9,157555,7.2,46.7,0,217,14198,34.21,43910,4340.613329,0.027549829,88.1,46.3,41.8,48
17,30,261,651358,339805,311553,122894,166669,228470,6863.75,94.8982699,21540,13,274809,7.8,60.9,136,124,18699,63.11,103383,15969.7437,0.058112157,87.9,49.4,38.5,32
18,34,318,302306,155819,146487,59382,79185,99719,7234.99,41.78388636,21090,14.7,132672,7.3,55.3,124,81,9898,21.69,34888,2803.312731,0.021129649,86.3,46.6,39.7,29
19,33,392,240073,123531,116542,44534,62906,83782,5856.83,40.99026265,21170,12.9,104622,5.8,55.6,179,0,12375,23.38,32881,3607.939837,0.03448548,88.1,46.4,41.7,23
2A,32,230,158507,81976,76531,34039,43830,48277,4014.2,39.48657267,21900,11.3,73871,15.2,62.9,0,0,1515,41.23436853,17309,8326.792331,0.11272072,88.6,50.6,38.1,14
2B,38,696,181933,92819,89114,42502,48796,53660,4665.6,38.9945559,20150,11.8,73870,15.2,60.8,0,0,1814,47.92563147,24808,8597.303306,0.116384233,87.1,52.3,34.9,13
21,9,277,534124,276452,257672,131123,135882,145800,8763.21,60.95072468,22590,18.2,249235,5.6,21.4,298,18,12494,34.53,63299,1346.836942,0.005403884,82.7,47.4,35.3,30
22,21,338,600582,310372,290210,110460,154801,199801,6877.55,87.32499218,21450,16.3,254429,6.4,49,0,269,20693,39.32,68528,7714.984108,0.030322739,89.5,47.7,41.8,29
23,23,248,116617,59946,56671,19407,30818,45042,5565.38,20.95400494,19690,11.9,49300,6.5,65.4,4,89,11182,23.45,15014,6069.575886,0.12311513,86.9,46.8,40.1,14
24,54,464,413223,214272,198951,71872,109005,152439,9060.01,45.60955231,20400,14.7,173951,7.4,71.3,110,123,19657,53.24,52586,8502.568589,0.048879102,88.9,47.3,41.6,27
25,63,809,543974,277827,266147,133859,137043,138783,5233.64,103.9379858,22750,12.5,251031,6.9,55.9,101,127,9913,38.99,82409,6073.789556,0.024195376,85.8,47.2,38.6,30
26,21,163,516762,266436,250326,109862,134688,146332,6529.95,79.13720626,21260,12.4,230640,7.8,61.4,134,141,12279,52.57,69909,3641.690148,0.015789499,88.1,47.3,40.8,27
27,78,1445,599507,307220,292287,129469,160800,154753,6039.85,99.25859086,21790,10.6,279036,7.3,77.9,181,113,13626,36.29,99303,17305.28463,0.062018107,88.6,44.9,43.7,44
28,69,833,431575,220519,211056,91478,114712,115651,5879.95,73.39773297,22180,16.5,200253,6.6,73.5,125,165,13057,43.8,74911,8821.381041,0.04405118,87.8,45.9,41.9,38
29,42,779,915090,470380,444710,193345,240737,275956,6733,135.9111837,21970,20.6,402849,6.4,70.2,0,233,18136,26.78,88138,6202.236298,0.015395933,87.7,48.3,39.4,20
30,17,147,748437,387752,360685,155037,197144,223353,5852.77,127.8773982,20240,19.3,318384,9.8,82.1,87,133,14244,52.41,92214,9467.701587,0.029736738,86.3,48.1,38.2,60
31,26,714,1400039,717847,682192,400154,360448,306838,6309.34,221.899438,23380,12.9,677413,6.9,86.8,260,73,15845,72.1,168440,16477.97167,0.024324853,82.8,46.9,35.9,50
